time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,generation,individual,ar,real_reqps,latency
0,sfcr0-0,10.0,0.47747899033129215,2.7561436116695406,718.0,114.0,24,87,7,0.95,3.0,232.581684
0,sfcr0-1,10.0,0.42606292851269245,2.240622815489769,801.0,114.0,20,87,7,0.95,9.0,32.710613
0,sfcr0-2,10.0,0.6404808517545462,2.6780946284532545,856.0,114.0,24,87,7,0.95,0.0,0.0
0,sfcr0-3,10.0,0.6838507540524006,3.1181584745645523,1057.0,114.0,24,87,7,0.95,3.0,95.343497
0,sfcr0-4,10.0,0.42606292851269245,2.240622815489769,823.0,114.0,18,87,7,0.95,0.0,0.0
0,sfcr0-5,10.0,0.6404808517545462,2.8669584721326826,744.0,114.0,16,87,7,0.95,0.0,0.0
0,sfcr0-6,10.0,0.6404808517545462,2.8669584721326826,646.0,114.0,16,87,7,0.95,0.0,0.0
0,sfcr0-7,10.0,0.47747899033129215,2.7561436116695406,680.0,114.0,12,87,7,0.95,0.0,0.0
0,sfcr0-8,10.0,0.6694714352488518,2.985175150632858,904.0,114.0,14,87,7,0.95,2.0,106.989398
0,sfcr0-9,10.0,0.6128675807267427,2.8669584721326826,970.0,114.0,24,87,7,0.95,0.0,0.0
0,sfcr0-10,10.0,0.6694714352488518,2.985175150632858,816.0,114.0,24,87,7,0.95,0.0,0.0
0,sfcr0-11,10.0,0.3628749419003725,1.3686901688575746,680.0,114.0,16,87,7,0.95,2.0,36.574324000000004
0,sfcr0-12,10.0,0.26899841986596584,1.204963606595993,793.0,114.0,24,87,7,0.95,0.0,0.0
0,sfcr0-13,10.0,0.47842614352703094,2.240622815489769,959.0,114.0,22,87,7,0.95,0.0,0.0
0,sfcr0-14,10.0,0.6838507540524006,3.1181584745645523,818.0,114.0,16,87,7,0.95,0.0,0.0
0,sfcr1-1,10.0,0.6838507540524006,3.1181584745645523,1025.0,114.0,32,87,7,0.95,0.0,0.0
0,sfcr1-2,10.0,0.6404808517545462,2.6780946284532545,1006.0,114.0,24,87,7,0.95,0.0,0.0
0,sfcr1-3,10.0,0.6838507540524006,3.1181584745645523,962.0,114.0,24,87,7,0.95,0.0,0.0
0,sfcr1-4,10.0,0.6838507540524006,3.1181584745645523,943.0,114.0,22,87,7,0.95,0.0,0.0
0,sfcr1-5,10.0,0.6694714352488518,2.985175150632858,999.0,114.0,20,87,7,0.95,0.0,0.0
0,sfcr1-6,10.0,0.6838507540524006,3.1181584745645523,890.0,114.0,20,87,7,0.95,0.0,0.0
0,sfcr1-7,10.0,0.6838507540524006,3.1181584745645523,1188.0,114.0,28,87,7,0.95,0.0,0.0
0,sfcr1-8,10.0,0.6404808517545462,2.8669584721326826,744.0,114.0,16,87,7,0.95,0.0,0.0
0,sfcr1-10,10.0,0.6694714352488518,2.985175150632858,830.0,114.0,40,87,7,0.95,0.0,0.0
0,sfcr1-11,10.0,0.4548787232488394,2.3923485219478606,903.0,114.0,26,87,7,0.95,0.0,0.0
0,sfcr1-13,10.0,0.6838507540524006,3.1181584745645523,1209.0,114.0,22,87,7,0.95,0.0,0.0
0,sfcr1-14,10.0,0.6404808517545462,2.6780946284532545,737.0,114.0,32,87,7,0.95,0.0,0.0
0,sfcr2-0,10.0,0.6694714352488518,2.985175150632858,934.0,114.0,32,87,7,0.95,0.0,0.0
0,sfcr2-1,10.0,0.6838507540524006,3.1181584745645523,1402.0,114.0,36,87,7,0.95,0.0,0.0
0,sfcr2-2,10.0,0.6838507540524006,3.1181584745645523,1315.0,114.0,36,87,7,0.95,0.0,0.0
0,sfcr2-3,10.0,0.6694714352488518,2.985175150632858,1004.0,114.0,38,87,7,0.95,0.0,0.0
0,sfcr2-4,10.0,0.6838507540524006,3.1181584745645523,1024.0,114.0,32,87,7,0.95,0.0,0.0
0,sfcr2-5,10.0,0.6404808517545462,2.8669584721326826,1327.0,114.0,34,87,7,0.95,0.0,0.0
0,sfcr2-6,10.0,0.6404808517545462,2.6780946284532545,933.0,114.0,20,87,7,0.95,0.0,0.0
0,sfcr2-7,10.0,0.6838507540524006,3.1181584745645523,977.0,114.0,34,87,7,0.95,0.0,0.0
0,sfcr2-8,10.0,0.6838507540524006,3.1181584745645523,1181.0,114.0,28,87,7,0.95,0.0,0.0
0,sfcr2-9,10.0,0.6694714352488518,2.985175150632858,1200.0,114.0,30,87,7,0.95,0.0,0.0
