individual,generation,time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,latency,ar,real_reqps
18,14,0,sfcr0-0,10.0,0.3868139758706093,1.724485769867897,727.0,114.0,20,163.454021,0.95,1.0
18,14,0,sfcr0-1,10.0,0.6337695643305779,2.3132759422063827,830.0,114.0,24,57.7951945,0.95,2.0
18,14,0,sfcr0-2,10.0,0.6106372475624084,2.7562881261110306,913.0,114.0,24,0.0,0.95,0.0
18,14,0,sfcr0-3,10.0,0.6337695643305779,2.3132759422063827,534.0,114.0,8,0.0,0.95,0.0
18,14,0,sfcr0-5,10.0,0.4713866636157036,1.506833052635193,960.0,114.0,20,0.0,0.95,0.0
18,14,0,sfcr0-6,10.0,0.4141477346420288,1.8169908225536346,811.0,114.0,20,0.0,0.95,0.0
18,14,0,sfcr0-7,10.0,0.6337695643305779,2.3132759422063827,761.0,114.0,12,0.0,0.95,0.0
18,14,0,sfcr0-8,10.0,0.37898559868335724,1.6819790810346604,861.0,114.0,24,169.900258,0.95,1.0
18,14,0,sfcr0-9,10.0,0.4713866636157036,1.6819790810346604,915.0,114.0,20,0.0,0.95,0.0
18,14,0,sfcr0-11,10.0,0.629530780017376,1.7890961021184921,1028.0,114.0,24,0.0,0.95,0.0
18,14,0,sfcr0-12,10.0,0.6337695643305779,2.3132759422063827,899.0,114.0,24,0.0,0.95,0.0
18,14,0,sfcr0-13,10.0,0.629530780017376,2.7562881261110306,704.0,114.0,12,0.0,0.95,0.0
18,14,0,sfcr0-14,10.0,0.31630436331033707,1.1919951349496842,1061.0,114.0,20,0.0,0.95,0.0
18,14,0,sfcr1-0,10.0,0.629530780017376,2.7562881261110306,1068.0,114.0,22,0.0,0.95,0.0
18,14,0,sfcr1-1,10.0,0.6106372475624084,2.7562881261110306,981.0,114.0,32,0.0,0.95,0.0
18,14,0,sfcr1-2,10.0,0.629530780017376,1.7890961021184921,1005.0,114.0,20,0.0,0.95,0.0
18,14,0,sfcr1-3,10.0,0.629530780017376,1.7890961021184921,807.0,114.0,32,0.0,0.95,0.0
18,14,0,sfcr1-4,10.0,0.6106372475624084,2.7562881261110306,877.0,114.0,32,0.0,0.95,0.0
18,14,0,sfcr1-5,10.0,0.4619752988219261,2.195044481754303,780.0,114.0,32,0.0,0.95,0.0
18,14,0,sfcr1-6,10.0,0.33614201843738556,1.3213397979736328,861.0,114.0,32,0.0,0.95,0.0
18,14,0,sfcr1-7,10.0,0.6106372475624084,2.7562881261110306,1210.0,114.0,30,0.0,0.95,0.0
18,14,0,sfcr1-8,10.0,0.6337695643305779,2.7562881261110306,921.0,114.0,20,0.0,0.95,0.0
18,14,0,sfcr1-9,10.0,0.629530780017376,2.195044481754303,880.0,114.0,30,0.0,0.95,0.0
18,14,0,sfcr1-10,10.0,0.629530780017376,1.8169908225536346,785.0,114.0,24,0.0,0.95,0.0
18,14,0,sfcr1-11,10.0,0.6337695643305779,2.3132759422063827,724.0,114.0,24,0.0,0.95,0.0
18,14,0,sfcr1-12,10.0,0.4713866636157036,1.8169908225536346,1119.0,114.0,28,0.0,0.95,0.0
18,14,0,sfcr1-13,10.0,0.629530780017376,2.7562881261110306,878.0,114.0,20,0.0,0.95,0.0
18,14,0,sfcr1-14,10.0,0.6337695643305779,2.3132759422063827,927.0,114.0,32,0.0,0.95,0.0
18,14,0,sfcr2-0,10.0,0.629530780017376,1.7890961021184921,992.0,114.0,32,0.0,0.95,0.0
18,14,0,sfcr2-1,10.0,0.6337695643305779,2.7562881261110306,930.0,114.0,16,0.0,0.95,0.0
18,14,0,sfcr2-2,10.0,0.3868139758706093,1.724485769867897,1037.0,114.0,22,0.0,0.95,0.0
18,14,0,sfcr2-3,10.0,0.6337695643305779,2.3132759422063827,1003.0,114.0,40,0.0,0.95,0.0
